oid,delta_mag_fid_1,positive_fraction_1,delta_mag_fid_2,positive_fraction_2,Multiband_period,PPE,Period_band_1,delta_period_1,Period_band_2,delta_period_2,MHPS_ratio_1,MHPS_low_1,MHPS_high_1,MHPS_ratio_2,MHPS_low_2,MHPS_high_2,GP_DRW_sigma_1,GP_DRW_tau_1,GP_DRW_sigma_2,GP_DRW_tau_2,Psi_CS_1,Psi_eta_1,Psi_CS_2,Psi_eta_2,Harmonics_mag_1_1,Harmonics_mag_2_1,Harmonics_mag_3_1,Harmonics_mag_4_1,Harmonics_mag_5_1,Harmonics_mag_6_1,Harmonics_mag_7_1,Harmonics_phase_2_1,Harmonics_phase_3_1,Harmonics_phase_4_1,Harmonics_phase_5_1,Harmonics_phase_6_1,Harmonics_phase_7_1,Harmonics_mse_1,Harmonics_mag_1_2,Harmonics_mag_2_2,Harmonics_mag_3_2,Harmonics_mag_4_2,Harmonics_mag_5_2,Harmonics_mag_6_2,Harmonics_mag_7_2,Harmonics_phase_2_2,Harmonics_phase_3_2,Harmonics_phase_4_2,Harmonics_phase_5_2,Harmonics_phase_6_2,Harmonics_phase_7_2,Harmonics_mse_2,Power_rate_1/4,Power_rate_1/3,Power_rate_1/2,Power_rate_2,Power_rate_3,Power_rate_4,Amplitude_1,AndersonDarling_1,Autocor_length_1,Beyond1Std_1,Con_1,Gskew_1,Meanvariance_1,MedianAbsDev_1,MedianBRP_1,PairSlopeTrend_1,PercentAmplitude_1,Q31_1,Rcs_1,Skew_1,SmallKurtosis_1,Std_1,StetsonK_1,Pvar_1,ExcessVar_1,SF_ML_amplitude_1,SF_ML_gamma_1,IAR_phi_1,LinearTrend_1,Amplitude_2,AndersonDarling_2,Autocor_length_2,Beyond1Std_2,Con_2,Gskew_2,Meanvariance_2,MedianAbsDev_2,MedianBRP_2,PairSlopeTrend_2,PercentAmplitude_2,Q31_2,Rcs_2,Skew_2,SmallKurtosis_2,Std_2,StetsonK_2,Pvar_2,ExcessVar_2,SF_ML_amplitude_2,SF_ML_gamma_2,IAR_phi_2,LinearTrend_2,SPM_A_1,SPM_t0_1,SPM_gamma_1,SPM_beta_1,SPM_tau_rise_1,SPM_tau_fall_1,SPM_chi_1,SPM_A_2,SPM_t0_2,SPM_gamma_2,SPM_beta_2,SPM_tau_rise_2,SPM_tau_fall_2,SPM_chi_2,classALeRCE
ZTF18acvhggp,,,0.6986999999999988,0.0,0.05223841708891944,0.004475670036075963,,,0.05223841708891944,0.0,,,,0.49351704120635986,0.01086023822426796,0.022005802020430565,,,8.387385552514598e-09,0.3052685292133973,,,0.20452504172304514,1.0795621691612611,,,,,,,,,,,,,,,0.09046157959134564,0.08479914692753306,0.02247782671732237,0.04745440716398045,0.06703078980124066,0.023505216162904206,0.04776877700158415,1.0336789688991996,1.4698606699019727,1.2194300823314226,0.40155001077796904,3.037285984192467,1.229321598622695,0.007199775421477856,0.19860441982746124,0.19860441982746124,0.19860441982746124,0.048181936144828796,0.036495085805654526,0.26491400599479675,,,,,,,,,,,,,,,,,,,,,,,,0.25820000000000043,0.988957784246767,1.0,0.29411764705882354,0.0,0.06814999999999571,0.00690278664553048,0.07401700000000133,0.47058823529411764,0.03333333333333333,0.01776126381062513,0.1366999999999976,0.11942939726328994,0.31988794661984876,0.46639482258203735,0.14042863782554982,0.765436791344972,3.257745332421382e-06,-9.072855128342341e-05,-0.5,-0.5,0.9999999848794109,-4.401533976160698e-05,,,,,,,,0.0881796599719569,49.99845743240788,99.99961088429717,1.9672268224150526e-12,42.987248428110114,99.99999999161048,1.7578428005277142,SNIa
ZTF18acvjnst,3.675448000000003,1.0,2.117338,1.0,253.33330753777025,0.11610507730033548,253.33330753777025,0.0,0.18674136254681442,253.14656617522343,136.7569580078125,20.86181640625,0.15254665911197662,9098.1298828125,25.314544677734375,0.0027823897544294596,2.8927211487730204,260.898027248622,0.8904558179194413,87.46587650631366,0.4278647406590926,0.04144725938441327,0.4638976248677562,0.1727886902424412,2677429.768184837,3839126.23624265,3264849.562554253,1888915.172725859,740218.5760885614,179612.18738578464,20540.18232587316,4.83522980712579,3.3525307936601805,1.8513378909677414,0.3306648560573269,5.0700056765954535,3.49917405308452,7.02699175853088e-15,7.218105982220785,4.065986771273784,0.6568544840363524,1.8547692517187218,2.0292612424446372,0.36501398001060475,1.9999168070553892,0.03297104899643455,0.6234978694144542,2.8316225710449907,2.899547493740312,2.7631217529801217,6.157159626763404,1.1149234127123634e-28,0.02023131586611271,0.03809582069516182,0.1433466225862503,0.8134642243385315,0.7398444414138794,0.7398444414138794,1.8377240000000015,0.9874492120544832,7.0,0.42857142857142855,0.0,-0.7622220000000013,0.06348541857332358,1.1584630000000011,0.21428571428571427,-0.03333333333333333,0.11729413032172499,2.4231060000000006,0.4278647406590926,-0.3549944443714243,-0.9941237827919496,1.195232030733296,0.893608113475116,1.0,0.003944395161467335,9.137478662392589,0.7286857006701505,0.9925355774867267,0.03780206063166709,1.058669,0.9943226532151009,3.0,0.5,0.0,-0.6201010000000053,0.04663845063508582,0.66845,0.0,-0.03333333333333333,0.07500415854240512,1.7708310000000012,0.4638976248677562,-0.26957329781665373,-1.4494207575251954,0.8416461860048772,0.9345973338733534,1.0,0.0021239470836602273,15.0,1.3387866523902003,0.9865256554519141,0.0376369899436323,1.5364780994712666,-21.608143771872346,39.4315831941366,0.8732547632088923,7.336530493948534,22.782145511905473,0.5248441768593353,1.1141720717425436,-23.618607586119044,47.847367365113584,0.6682720437686396,12.882001336324949,22.3976693243843,0.41977325315959746,SNIa
ZTF18acvrfvv,2.1738609999999987,1.0,2.0314600000000027,1.0,0.07905697034783074,0.008342101808486602,0.06104260785391726,0.01801436249391348,0.10713519788536476,0.028078227537534015,1.8793030977249146,0.32581329345703125,0.17336921393871307,5.397946357727051,1.567751407623291,0.2904347777366638,0.5090338732236255,8.930341448451017,0.44031988141342454,8.096489440268117,0.393533144806945,0.9096611375257168,0.25404045249894297,0.7921312587374919,3.2525499376200853,6.098508633672732,1.3287381252664805,2.005383768703594,3.322507883896144,0.9291804883003487,1.2449077794431187,2.310572563580823,0.7240362134842551,0.6733654089963093,1.0551463286903324,3.8592246592338917,6.048733177014043,2.0264960143010883e-28,471.6029278174242,178.29609753358483,576.3940309292976,555.8773798133058,605.6146826601122,891.380407624627,852.2781748618596,2.7160984937297634,2.1972866678655567,4.063369970187251,3.6125201002053715,5.038069700046543,4.309679125602694,3.0050193320731804e-23,0.19449210166931152,0.19449210166931152,0.19449210166931152,0.04323061555624008,0.3274767994880676,0.040777139365673065,1.0869304999999994,0.9999518291170952,2.0,0.2222222222222222,0.0,1.4686690000000056,0.035296514957741304,0.21284800000000104,0.5555555555555556,-0.36666666666666664,0.09824159114195842,0.7972209999999968,0.40887581230209324,1.2185284379709445,1.5178450232870029,0.6645463432920529,0.8213316984407588,1.0,0.0011649920686495365,0.9016077893396008,-0.04373053834783484,0.8715460665543904,-0.003634442527547501,1.0157300000000014,0.9302127424379517,3.0,0.2,0.0,0.6298279999999963,0.0328004773064857,0.3405085000000003,0.2,-0.3,0.07117169794245388,0.6810170000000006,0.4097112984717813,0.6193804766792539,-0.06435131380889736,0.6164922494013131,0.8538897036107257,1.0,0.0010339614013693643,0.2890098264702173,-0.3468183002599331,0.8634924941390523,0.008191914505638786,0.18368367038846056,3.7603102779664113,11.796154831226893,2.3926693992967762e-06,2.154038913351901,13.403338993931557,0.147786420292869,0.34497548668984745,6.598971550168327,15.726187175775426,0.5593454703186631,2.984102079025952,22.083925432891526,0.1617372166093898,SNIa
ZTF18acvvppd,0.984886000000003,0.0,1.0247320000000002,0.0,0.9962769401645329,0.09698518337852036,999.999952502551,999.0036755623864,999.999952502551,999.0036755623864,141.96897888183594,0.14796017110347748,0.001042200718075037,198.78634643554688,0.12058106064796448,0.0006065862253308296,0.20222361250375756,1235.5760801345746,0.22093153321828274,1544.860165356901,0.22177039645547908,0.38496045506252285,0.234944758046925,0.3156765616970261,25.45448949479817,21.156065055273967,14.997229319898517,8.967561603281759,4.375798729622917,1.6116210161324358,0.3488164544714368,3.1621911248175008,0.04681637038181208,3.21788536260072,0.09981302194240627,3.2556726453269675,0.12575424999688067,0.01657328774801149,136.13780640500488,110.74885168449,78.23941005497838,46.685336998099636,22.31820694500111,7.679908143240552,1.4845854787727089,6.279304900243037,6.273824754286094,6.2570416540631335,6.218713200664489,6.156387405107154,6.075746571608661,0.015007659617358175,0.0736236572265625,0.019046995788812637,0.11537642031908035,1.0,1.0,1.0,0.48138900000000007,1.0,15.0,0.21951219512195122,0.05,0.6388100000000065,0.01735856924274359,0.1550009999999986,0.14634146341463414,-0.36666666666666664,0.04613469228056362,0.3741269999999979,0.4099649953678798,1.0071969371254281,-0.12622997362618094,0.30774527297837645,0.7807144629016856,1.0,0.00028152424942930795,0.5204592214253416,0.545430704876854,0.9982592070990502,-0.00144137773857437,0.4992692500000011,1.0,16.0,0.28205128205128205,0.02631578947368421,0.6001854999999949,0.018300767756407182,0.1839720000000007,0.20512820512820512,-0.5666666666666667,0.04813440849832109,0.5247367500000024,0.41790464320969734,0.9095953913111452,-0.29652538491842995,0.31441345689490574,0.81722402843204,1.0,0.00032377691698308046,0.9286443279327631,0.8284783644742333,0.9985605966907027,-0.0016652128667743514,0.539762856638698,49.965754472418396,99.98924033892573,0.024230321336807803,87.36567727529008,99.99968341533997,71.55274108399777,0.8360319310733316,47.60796831058434,99.51632210381193,0.1142980764275198,86.19318501194024,99.97359931597731,125.03476717897017,SNIIn
ZTF18acvvsnu,,,0.37935200000000435,0.0,0.12948600683108036,0.004810530922286116,,,0.12948600683108036,0.0,,,,-0.5111340880393982,-0.003958001732826233,0.007743568159639835,,,5.049170563377564e-08,3.466219269496468,,,0.23896750584558477,1.3028322735046305,,,,,,,,,,,,,,,86.28490118011737,80.73653196230293,68.95839321021695,51.41385526918315,30.627289031499075,13.029593427665672,3.3071186363657903,6.257318671084134,6.172002123392761,6.030462300499212,5.808558648788626,5.56431668029449,5.208562399117309,0.00017066999932963912,0.2389747053384781,0.2389747053384781,0.008626874536275864,0.03509442135691643,0.07446303218603134,0.046324003487825394,,,,,,,,,,,,,,,,,,,,,,,,0.18967600000000218,0.9416069699756271,2.0,0.2777777777777778,0.0,0.06313199999999597,0.005179608555981537,0.05333650000000212,0.4444444444444444,-0.1,0.011173956895502435,0.09263650000000112,0.31257052503288657,0.7672338110692645,1.3531162973799962,0.1025254842601481,0.7370464032827367,0.0012387833198848194,-8.512955467509358e-05,-0.5,-0.5,0.9996499219557736,-0.0003429092241975019,,,,,,,,0.1462618567976425,49.999060954066756,99.99991394395337,9.344331218224394e-07,41.791241174116294,99.99999957743799,3.755537231991227,SNII
ZTF18acvwbos,3.361338,1.0,3.0373850000000004,1.0,193.87754411481248,0.05721522417545444,499.9999762512755,306.122432136463,0.9921152189473176,192.88542889586518,177.46192932128906,19.73526954650879,0.1112084686756134,267.4604797363281,13.598710060119629,0.05084381252527237,2.0759399922451425,202.2711844158844,1.6027911513299002,353.21833447741875,0.4231223694034615,0.2458852011071141,0.4241711383407313,0.15879781355731504,1005.2448343315665,799.7799634953745,537.9553694543572,300.85384933835354,134.73130047865354,43.00017621369131,7.440007698022678,3.1327540324005074,6.259093770901697,3.0942436202336983,6.18048214029662,2.9146761455565016,5.849938413366294,0.0014358797265965114,116.58048131340193,93.00328509855169,63.2838260856256,35.59103405166137,15.769969356345731,5.020672867924703,0.9173174622673967,3.119728867026285,6.243765837287551,3.080566310889857,6.178571897592838,2.963349116912246,6.0166882461475435,0.0021675368084391974,0.09825094044208527,0.18415327370166779,0.28972628712654114,0.8525387644767761,0.785998523235321,0.7459919452667236,1.680669,0.9999964860315557,10.0,0.4,0.0,-0.5498779999999996,0.053990657281686276,0.7215519999999991,0.28,-0.3,0.10087332753212636,1.8723799999999997,0.4231223694034595,-0.415290772874029,-0.9774353171999062,1.033641294400501,0.9301109804773708,1.0,0.0028155971480355413,5.3796541842239085,0.55100694105934,0.9908927098692495,0.030916113991011913,1.5186925000000002,0.9998887874545949,12.0,0.32142857142857145,0.0,0.43961800000000295,0.04971517935343247,0.904325,0.2857142857142857,-0.36666666666666664,0.09456062052600092,1.5487494999999996,0.4241711383407289,0.21999029211420754,-1.0473873493494743,0.9109197080245861,0.9138941517789853,1.0,0.002420864625225925,9.567122322245108,0.9363881945135824,0.9946328811045523,0.02914697606653989,0.8016946657756202,-23.027095014038377,44.68716157760437,0.9010247744945888,1.1265235341706825,48.9995292361704,0.4125267843610913,0.8335278000987995,3.8113754931361252,25.330641934575155,0.7345931879463509,5.513373370303877,38.85830653266399,0.09882849130047763,SNIa
ZTF18acvwchp,2.9535930000000015,1.0,2.830501999999999,1.0,193.87754411481248,0.17926337128566405,124.99999406281887,68.87755005199361,249.99998812563774,56.12244401082526,657.264404296875,15.114327430725098,0.022995810955762863,1026.5797119140625,11.88292407989502,0.011575257405638695,1.6942192581385864,104.44249734381468,1.6988106737885822,273.38459336602403,0.4330338231104294,0.12413815391153674,0.4261313398508728,0.0664336246811221,8.611708826763467,2.56327523348564,2.8690676924863325,3.536426093883483,0.8816547273646781,4.927809445196606,2.925374808209833,0.11098041276963233,2.8972262943433797,2.958826317613404,5.9846745389918485,6.04340568027075,2.8151622941293137,2.720307945564137e-26,2292.1989766204,1341.416734918053,3857.784933140153,3853.848815065681,2280.3128748546374,791.3809806119674,124.54871418900429,6.258066881198673,3.106463091557305,6.213223670867558,3.000109100611091,6.017034239753023,2.6902276991601433,3.645930597375757e-21,0.02444814331829548,0.020686494186520576,0.10759098082780838,0.850520133972168,0.7820495367050171,0.742281973361969,1.4767965000000007,0.8957423759195344,4.0,0.5,0.0,-0.23773400000000322,0.05105822613260369,0.6711550000000006,0.25,-0.03333333333333333,0.08300384668193288,1.4200130000000044,0.4330338231104294,-0.08831120040800432,-0.7803435532735863,0.9715346759246428,0.9512513616759146,1.0,0.0025444289549168245,10.659825361129977,0.7405904729191539,0.9840211103558119,0.05639642517728814,1.4152509999999996,0.9957152768186723,6.0,0.23076923076923078,0.0,0.9469759999999994,0.04927094627010661,0.6847929999999991,0.23076923076923078,-0.16666666666666666,0.10113319095267786,1.1766340000000035,0.4261313398508728,0.4697742038250763,-0.8485941771172123,0.9336562374670354,0.8654227334166031,1.0,0.0023695158474255503,13.141609304030203,1.0008956218456568,0.9927855094909809,0.036461162789868586,0.5670239197163037,-18.11287263679328,36.75632793141373,0.8569863061344379,3.6120116279893293,26.453327885431523,0.11978768605093433,0.6237401211209104,-34.20192915697774,43.69290345867628,0.623733994276252,14.907632175086777,28.121320843809812,0.19846807147294554,SNIa
ZTF18acvwcig,0.796483000000002,1.0,1.063756999999999,1.0,0.16828753721697626,0.055392644917856226,,,0.16828753721697626,0.0,,,,3930.007080078125,1.6534521579742432,0.0004207249730825424,0.0849807230243475,4.353436862298317,0.16982424715369904,32.07100823548606,0.4635508714600687,2.763964823610566,0.4500148146168926,1.5841623556017608,1.2659879748520437,2.699606387663433,5.421944688375574,2.5319405695087216,6.392791095674965,1.2752485331889152,0.2183816556435499,6.244780252368612,3.014955897721297,2.9596235438685845,2.9586252544846445,6.026021903482377,5.221186586093847,7.152338874003841e-29,2.8482300030494927,1.331369937497156,3.9572844340041446,2.8764450629466554,7.572005656295494,1.0569756884140156,1.6772250317741746,1.5685529589478562,5.358490078049977,1.830277946461722,1.4991824088378625,2.383155050507995,1.0199861286868828,1.676892895669808e-28,0.0005718801985494792,0.0023616014514118433,0.020893555134534836,0.03611002117395401,0.1053992286324501,0.00016210989269893616,,,,,,,,,,,,,,,,,,,,,,,,0.5318784999999995,0.3487560405664902,2.0,0.2857142857142857,0.0,0.3328649999999982,0.0193320703368547,0.3248099999999994,0.2857142857142857,0.2,0.03617061612356349,0.591622000000001,0.4500148146168885,0.19533807088898972,-0.08108728014694222,0.3755236463170666,0.8307537401499536,0.9999999999999997,0.0003249452210630636,15.0,1.3335740033660275,0.9694570567964658,0.03558105551700875,0.19739035818501247,-8.717661665239657,11.397652320842111,0.4797423420300843,7.513154467839176,12.866083874935903,,0.20416870778837914,-12.605761436620881,17.88682139278096,0.48077698214632025,13.317656893541482,24.52629938309552,0.14930389334324637,SNIa
ZTF18acvweal,1.909994000000001,1.0,0.8756570000000039,1.0,0.598594831264223,0.06062388848406319,,,0.598594831264223,0.0,673.1663208007812,11.630843162536621,0.01727781444787979,1004.5087890625,1.688267707824707,0.0016806898638606071,0.6426037771731663,28.31578263467449,0.1382139581854696,30.48989430178779,0.4758654275385601,2.3659224045193983,0.29995017061209767,2.442615276567245,0.3910672894627469,1.8851293346104256,6.212421454303614,1.9843574116196336,4.034260649056248,4.250031073065984,2.5407457213586584,1.7113086938005648,5.519514882611992,5.704710154977882,0.8659628741792698,4.846522968372705,4.750583685437206,2.600085543608455e-28,2.4302499523059797,2.5286408603725996,3.7132963717710004,5.416513885937112,2.8295625184881925,2.595203330257823,4.330075334192807,0.45592600494300384,3.2070729960143294,3.342489272133958,2.0285844020570423,3.6977091588503623,1.5980947730646662,8.654931074424815e-29,0.00025419710436835885,0.003070558188483119,0.0012900930596515536,0.00017972277419175953,0.005008273292332888,0.00020207914349157363,,,,,,,,,,,,,,,,,,,,,,,,0.43782850000000195,0.8523400897430491,2.0,0.2857142857142857,0.0,0.22741099999999648,0.019300269270619896,0.3241230000000037,0.14285714285714285,0.13333333333333333,0.029320436184642192,0.7223600000000019,0.4722133885857551,0.13350062876838606,-1.2819765777146301,0.36481297564329423,0.8917130929383766,1.0,0.0003422013528037652,15.0,1.2403163369101728,0.9668903913059484,0.03470611419591663,0.30095218568511395,-38.08115039249631,35.84984709511051,0.26663008963470314,23.197275327913488,17.874967878820968,,0.29760050451548664,5.279139796404634,7.956996559067512,0.5463832789807053,9.064193517414983,23.29773132185572,0.07134935052041357,SNIa
ZTF18acvwhaz,1.3998409999999986,1.0,1.364608999999998,1.0,759.9999674409642,0.042108276606751094,0.05964451600888397,759.9403229249552,1.2771391233976686,758.7228283175665,1.3033480644226074,0.14973755180835724,0.11488685011863708,1.1819934844970703,0.19995898008346558,0.16917096078395844,0.1993251001303576,4.538584686608914,0.1721736317687537,5.507331532450575,0.3423644755754662,1.2877180405819746,0.3047271892199621,1.3134997268476345,1537.5153082127554,2268.8320007240227,1687.545876336332,146.69048761340827,2246.295823000595,2582.6710357376583,2303.844530545964,1.5104905756341385,3.023160483955195,1.8978348247642387,3.004591651276092,4.520385748092281,2.93937541283532,3.202722621361421e-21,4632466.382545659,4005780.680154789,10937524.149675868,9060270.15198553,3498402.977147978,15402901.586866066,7901378.408644344,3.227577373877589,3.2220201371204897,3.2332726098988678,0.16043348768782462,0.15085650539843254,3.3241563261376283,1.6902152329593084e-13,0.9465404152870178,0.9721320271492004,0.9893471002578735,0.9935787916183472,0.9935787916183472,0.9935787916183472,0.6999204999999993,0.9889280261143581,2.0,0.16666666666666666,0.0,0.6201660000000047,0.02410256509285384,0.2764314999999975,0.3333333333333333,-0.23333333333333334,0.05225436311425922,0.552862999999995,0.3941565326059157,0.9665410259594492,1.2275306672332382,0.4680270435885615,0.8403839598839855,0.999999999965872,0.000501154057013504,3.361542058801243,0.42836789223710087,0.8154032519447367,-0.037125883053388715,0.682304499999999,0.9977877224489702,2.0,0.14285714285714285,0.0,0.7227109999999968,0.02176546775835924,0.1820820000000012,0.42857142857142855,-0.36666666666666664,0.05382953790545192,0.47611800000000315,0.39019416196711687,1.154257823490085,1.6847444709322774,0.42497905684388515,0.7778425217059627,0.9999999999990159,0.0004070658797692261,6.853251834844395,0.7325311604984214,0.8405592628740742,-0.04143440322183312,0.06376886805166443,5.492159327549089,18.453354754055262,0.4286845345089075,3.550896794309623,2.6733095464832664,0.05059232845642315,0.06725769770559357,1.8754823583328089,18.75172400681955,0.0935276830330666,2.745757700545461,4.686018055780784,0.046735206798165514,SNIa
